antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
frozenset({'Bacharelado em Sistemas de Informação - C200380893402'}),frozenset({'Aprovado'}),0.008688097306689836,0.27628149435273675,0.0034752389226759338,0.39999999999999997,1.4477987421383647,0.0010748784157016788,1.2061975094121054,0.31200701139351444
frozenset({'Bacharelado em Sistemas de Informação - C380148200685'}),frozenset({'Aprovado'}),0.016507384882710686,0.27628149435273675,0.005212858384013901,0.31578947368421056,1.1429990069513407,0.0006521734207628168,1.0577424313306156,0.12720848056537107
frozenset({'Bacharelado em Sistemas de Informação - C402380642148'}),frozenset({'Aprovado'}),0.0017376194613379669,0.27628149435273675,0.0008688097306689834,0.5,1.809748427672956,0.0003887376292741325,1.4474370112945265,0.4482158398607485
frozenset({'Bacharelado em Sistemas de Informação - E200380461148'}),frozenset({'Aprovado'}),0.0017376194613379669,0.27628149435273675,0.0008688097306689834,0.5,1.809748427672956,0.0003887376292741325,1.4474370112945265,0.4482158398607485
frozenset({'Bacharelado em Sistemas de Informação - E681200461218'}),frozenset({'Aprovado'}),0.008688097306689836,0.27628149435273675,0.0026064291920069507,0.3,1.0858490566037735,0.00020606868503269572,1.0338835794960903,0.07975460122699395
frozenset({'Bacharelado em Sistemas de Informação - E978402380148'}),frozenset({'Aprovado'}),0.010425716768027803,0.27628149435273675,0.0034752389226759338,0.3333333333333333,1.2064989517819706,0.0005948063143068278,1.0855777584708948,0.17295873573309917
frozenset({'Bacharelado em Sistemas de Informação - I200380893402'}),frozenset({'Aprovado'}),0.007819287576020852,0.27628149435273675,0.0034752389226759338,0.44444444444444436,1.6086652690426273,0.0013149144663991042,1.3026933101650737,0.3813485113835376
frozenset({'Ciência da Computação - Bacharelado - A292200218320'}),frozenset({'Aprovado'}),0.004344048653344918,0.27628149435273675,0.0017376194613379669,0.39999999999999997,1.4477987421383647,0.0005374392078508394,1.2061975094121054,0.3106457242582897
frozenset({'Ciência da Computação - Bacharelado - B200380461148'}),frozenset({'Aprovado'}),0.0034752389226759338,0.27628149435273675,0.0017376194613379669,0.5,1.809748427672956,0.000777475258548265,1.4474370112945265,0.4489973844812555
frozenset({'Ciência da Computação - Bacharelado - B292200218320'}),frozenset({'Aprovado'}),0.0026064291920069507,0.27628149435273675,0.0008688097306689834,0.3333333333333333,1.2064989517819706,0.00014870157857670694,1.0855777584708948,0.17160278745644594
frozenset({'Ciência da Computação - Bacharelado - B320888200683'}),frozenset({'Aprovado'}),0.0026064291920069507,0.27628149435273675,0.0008688097306689834,0.3333333333333333,1.2064989517819706,0.00014870157857670694,1.0855777584708948,0.17160278745644594
frozenset({'Ciência da Computação - Bacharelado - B512402380642'}),frozenset({'Aprovado'}),0.0026064291920069507,0.27628149435273675,0.0008688097306689834,0.3333333333333333,1.2064989517819706,0.00014870157857670694,1.0855777584708948,0.17160278745644594
frozenset({'Ciência da Computação - Bacharelado - B888642512642'}),frozenset({'Aprovado'}),0.0026064291920069507,0.27628149435273675,0.0008688097306689834,0.3333333333333333,1.2064989517819706,0.00014870157857670694,1.0855777584708948,0.17160278745644594
frozenset({'Ciência da Computação - Bacharelado - C218200683888'}),frozenset({'Aprovado'}),0.005212858384013901,0.27628149435273675,0.0026064291920069507,0.5,1.809748427672956,0.0011662128878223977,1.4474370112945265,0.44978165938864634
frozenset({'Ciência da Computação - Bacharelado - C292200218642'}),frozenset({'Aprovado'}),0.004344048653344918,0.27628149435273675,0.0017376194613379669,0.39999999999999997,1.4477987421383647,0.0005374392078508394,1.2061975094121054,0.3106457242582897
frozenset({'Ciência da Computação - Bacharelado - C380148200685'}),frozenset({'Aprovado'}),0.013032145960034752,0.27628149435273675,0.005212858384013901,0.4000000000000001,1.4477987421383651,0.001612317623552519,1.2061975094121058,0.3133802816901409
frozenset({'Ciência da Computação - Bacharelado - C888148218402'}),frozenset({'Aprovado'}),0.0017376194613379669,0.27628149435273675,0.0008688097306689834,0.5,1.809748427672956,0.0003887376292741325,1.4474370112945265,0.4482158398607485
frozenset({'Ciência da Computação - Bacharelado - C946200380402'}),frozenset({'Aprovado'}),0.007819287576020852,0.27628149435273675,0.0026064291920069507,0.3333333333333333,1.2064989517819706,0.00044610473573012104,1.0855777584708948,0.17250437828371282
frozenset({'Ciência da Computação - Bacharelado - E200380461148'}),frozenset({'Aprovado'}),0.0017376194613379669,0.27628149435273675,0.0008688097306689834,0.5,1.809748427672956,0.0003887376292741325,1.4474370112945265,0.4482158398607485
frozenset({'Ciência da Computação - Bacharelado - E642946200380'}),frozenset({'Aprovado'}),0.0017376194613379669,0.27628149435273675,0.0008688097306689834,0.5,1.809748427672956,0.0003887376292741325,1.4474370112945265,0.4482158398607485
frozenset({'Ciência da Computação - Bacharelado - E681200461218'}),frozenset({'Aprovado'}),0.0069504778453518675,0.27628149435273675,0.0026064291920069507,0.37500000000000006,1.3573113207547172,0.0006861407864275468,1.1579496090356212,0.2650918635170605
frozenset({'Ciência da Computação - Bacharelado - J0000001111'}),frozenset({'Aprovado'}),0.0026064291920069507,0.27628149435273675,0.0008688097306689834,0.3333333333333333,1.2064989517819706,0.00014870157857670694,1.0855777584708948,0.17160278745644594
frozenset({'Ciência da Computação - Bacharelado - P148855320'}),frozenset({'Aprovado'}),0.0026064291920069507,0.27628149435273675,0.0008688097306689834,0.3333333333333333,1.2064989517819706,0.00014870157857670694,1.0855777584708948,0.17160278745644594
frozenset({'Ciência da Computação - Bacharelado - P893683855'}),frozenset({'Aprovado'}),0.0026064291920069507,0.27628149435273675,0.0008688097306689834,0.3333333333333333,1.2064989517819706,0.00014870157857670694,1.0855777584708948,0.17160278745644594
frozenset({'Ciências Econômicas - Diurno - P148855320'}),frozenset({'Aprovado'}),0.0026064291920069507,0.27628149435273675,0.0008688097306689834,0.3333333333333333,1.2064989517819706,0.00014870157857670694,1.0855777584708948,0.17160278745644594
frozenset({'Ciências Econômicas - Diurno - P512200642'}),frozenset({'Aprovado'}),0.0026064291920069507,0.27628149435273675,0.0008688097306689834,0.3333333333333333,1.2064989517819706,0.00014870157857670694,1.0855777584708948,0.17160278745644594
frozenset({'Ciências Econômicas - Noturno - P200218642'}),frozenset({'Aprovado'}),0.0026064291920069507,0.27628149435273675,0.0008688097306689834,0.3333333333333333,1.2064989517819706,0.00014870157857670694,1.0855777584708948,0.17160278745644594
frozenset({'Curso de Bacharelado em Estatística - Noturno - P681200683'}),frozenset({'Aprovado'}),0.0026064291920069507,0.27628149435273675,0.0008688097306689834,0.3333333333333333,1.2064989517819706,0.00014870157857670694,1.0855777584708948,0.17160278745644594
frozenset({'Curso de Bacharelado em Estatística - Noturno - P888402148'}),frozenset({'Aprovado'}),0.005212858384013901,0.27628149435273675,0.0017376194613379669,0.3333333333333333,1.2064989517819706,0.0002974031571534139,1.0855777584708948,0.17205240174672484
frozenset({'Curso de Engenharia Acústica - A218148855402'}),frozenset({'Aprovado'}),0.004344048653344918,0.27628149435273675,0.0017376194613379669,0.39999999999999997,1.4477987421383647,0.0005374392078508394,1.2061975094121054,0.3106457242582897
frozenset({'Curso de Engenharia Aeroespacial - A292200218320'}),frozenset({'Aprovado'}),0.0026064291920069507,0.27628149435273675,0.0017376194613379669,0.6666666666666666,2.4129979035639413,0.0010175113092456903,2.1711555169417895,0.5871080139372822
frozenset({'Curso de Engenharia Aeroespacial - B292200218320'}),frozenset({'Aprovado'}),0.0026064291920069507,0.27628149435273675,0.0008688097306689834,0.3333333333333333,1.2064989517819706,0.00014870157857670694,1.0855777584708948,0.17160278745644594
frozenset({'Curso de Engenharia Aeroespacial - B320888200683'}),frozenset({'Aprovado'}),0.0026064291920069507,0.27628149435273675,0.0008688097306689834,0.3333333333333333,1.2064989517819706,0.00014870157857670694,1.0855777584708948,0.17160278745644594
frozenset({'Curso de Engenharia Aeroespacial - B461200642855'}),frozenset({'Aprovado'}),0.0026064291920069507,0.27628149435273675,0.0008688097306689834,0.3333333333333333,1.2064989517819706,0.00014870157857670694,1.0855777584708948,0.17160278745644594
frozenset({'Curso de Engenharia Aeroespacial - B512402380642'}),frozenset({'Aprovado'}),0.0026064291920069507,0.27628149435273675,0.0008688097306689834,0.3333333333333333,1.2064989517819706,0.00014870157857670694,1.0855777584708948,0.17160278745644594
frozenset({'Curso de Engenharia Aeroespacial - B888642512642'}),frozenset({'Aprovado'}),0.005212858384013901,0.27628149435273675,0.0017376194613379669,0.3333333333333333,1.2064989517819706,0.0002974031571534139,1.0855777584708948,0.17205240174672484
frozenset({'Curso de Engenharia Sanitária e Ambiental - B200380461148'}),frozenset({'Aprovado'}),0.0026064291920069507,0.27628149435273675,0.0008688097306689834,0.3333333333333333,1.2064989517819706,0.00014870157857670694,1.0855777584708948,0.17160278745644594
frozenset({'Curso de Engenharia Sanitária e Ambiental - B292200218320'}),frozenset({'Aprovado'}),0.0026064291920069507,0.27628149435273675,0.0008688097306689834,0.3333333333333333,1.2064989517819706,0.00014870157857670694,1.0855777584708948,0.17160278745644594
frozenset({'Curso de Engenharia Sanitária e Ambiental - B320888200683'}),frozenset({'Aprovado'}),0.0026064291920069507,0.27628149435273675,0.0008688097306689834,0.3333333333333333,1.2064989517819706,0.00014870157857670694,1.0855777584708948,0.17160278745644594
frozenset({'Curso de Engenharia Sanitária e Ambiental - B461200642855'}),frozenset({'Aprovado'}),0.0026064291920069507,0.27628149435273675,0.0008688097306689834,0.3333333333333333,1.2064989517819706,0.00014870157857670694,1.0855777584708948,0.17160278745644594
frozenset({'Curso de Engenharia Sanitária e Ambiental - B512402380642'}),frozenset({'Aprovado'}),0.0026064291920069507,0.27628149435273675,0.0008688097306689834,0.3333333333333333,1.2064989517819706,0.00014870157857670694,1.0855777584708948,0.17160278745644594
frozenset({'Curso de Engenharia de Produção - B320888200683'}),frozenset({'Aprovado'}),0.0026064291920069507,0.27628149435273675,0.0008688097306689834,0.3333333333333333,1.2064989517819706,0.00014870157857670694,1.0855777584708948,0.17160278745644594
frozenset({'Curso de Engenharia de Produção - B461200642855'}),frozenset({'Aprovado'}),0.0026064291920069507,0.27628149435273675,0.0008688097306689834,0.3333333333333333,1.2064989517819706,0.00014870157857670694,1.0855777584708948,0.17160278745644594
frozenset({'Curso de Engenharia de Produção - B512402380642'}),frozenset({'Aprovado'}),0.0026064291920069507,0.27628149435273675,0.0008688097306689834,0.3333333333333333,1.2064989517819706,0.00014870157857670694,1.0855777584708948,0.17160278745644594
frozenset({'Curso de Engenharia de Produção - B888642512642'}),frozenset({'Aprovado'}),0.0026064291920069507,0.27628149435273675,0.0008688097306689834,0.3333333333333333,1.2064989517819706,0.00014870157857670694,1.0855777584708948,0.17160278745644594
frozenset({'Engenharia Civil - B200380461148'}),frozenset({'Aprovado'}),0.0069504778453518675,0.27628149435273675,0.0026064291920069507,0.37500000000000006,1.3573113207547172,0.0006861407864275468,1.1579496090356212,0.2650918635170605
frozenset({'Engenharia Civil - B200380512402'}),frozenset({'Aprovado'}),0.0026064291920069507,0.27628149435273675,0.0008688097306689834,0.3333333333333333,1.2064989517819706,0.00014870157857670694,1.0855777584708948,0.17160278745644594
frozenset({'Engenharia Civil - B292200218320'}),frozenset({'Aprovado'}),0.0069504778453518675,0.27628149435273675,0.0026064291920069507,0.37500000000000006,1.3573113207547172,0.0006861407864275468,1.1579496090356212,0.2650918635170605
frozenset({'Engenharia Civil - B380148200148'}),frozenset({'Aprovado'}),0.0026064291920069507,0.27628149435273675,0.0008688097306689834,0.3333333333333333,1.2064989517819706,0.00014870157857670694,1.0855777584708948,0.17160278745644594
frozenset({'Engenharia Civil - B461200642855'}),frozenset({'Aprovado'}),0.005212858384013901,0.27628149435273675,0.0017376194613379669,0.3333333333333333,1.2064989517819706,0.0002974031571534139,1.0855777584708948,0.17205240174672484
frozenset({'Engenharia Civil - P946200888'}),frozenset({'Aprovado'}),0.0026064291920069507,0.27628149435273675,0.0008688097306689834,0.3333333333333333,1.2064989517819706,0.00014870157857670694,1.0855777584708948,0.17160278745644594
frozenset({'Engenharia Elétrica - A380200380642'}),frozenset({'Aprovado'}),0.0026064291920069507,0.27628149435273675,0.0008688097306689834,0.3333333333333333,1.2064989517819706,0.00014870157857670694,1.0855777584708948,0.17160278745644594
frozenset({'Engenharia Elétrica - B200380461148'}),frozenset({'Aprovado'}),0.005212858384013901,0.27628149435273675,0.0017376194613379669,0.3333333333333333,1.2064989517819706,0.0002974031571534139,1.0855777584708948,0.17205240174672484
frozenset({'Engenharia Elétrica - B292200218320'}),frozenset({'Aprovado'}),0.0017376194613379669,0.27628149435273675,0.0008688097306689834,0.5,1.809748427672956,0.0003887376292741325,1.4474370112945265,0.4482158398607485
frozenset({'Engenharia Elétrica - B320888200683'}),frozenset({'Aprovado'}),0.0017376194613379669,0.27628149435273675,0.0008688097306689834,0.5,1.809748427672956,0.0003887376292741325,1.4474370112945265,0.4482158398607485
frozenset({'Engenharia Elétrica - B512402380642'}),frozenset({'Aprovado'}),0.0017376194613379669,0.27628149435273675,0.0008688097306689834,0.5,1.809748427672956,0.0003887376292741325,1.4474370112945265,0.4482158398607485
frozenset({'Engenharia Elétrica - B888642512642'}),frozenset({'Aprovado'}),0.0034752389226759338,0.27628149435273675,0.0017376194613379669,0.5,1.809748427672956,0.000777475258548265,1.4474370112945265,0.4489973844812555
frozenset({'Engenharia Florestal - P394200218'}),frozenset({'Aprovado'}),0.004344048653344918,0.27628149435273675,0.0017376194613379669,0.39999999999999997,1.4477987421383647,0.0005374392078508394,1.2061975094121054,0.3106457242582897
frozenset({'Engenharia Florestal - P888683642'}),frozenset({'Aprovado'}),0.0026064291920069507,0.27628149435273675,0.0008688097306689834,0.3333333333333333,1.2064989517819706,0.00014870157857670694,1.0855777584708948,0.17160278745644594
frozenset({'Engenharia Mecânica - AP681402512218'}),frozenset({'Aprovado'}),0.0026064291920069507,0.27628149435273675,0.0008688097306689834,0.3333333333333333,1.2064989517819706,0.00014870157857670694,1.0855777584708948,0.17160278745644594
frozenset({'Engenharia Mecânica - B200380461148'}),frozenset({'Aprovado'}),0.007819287576020852,0.27628149435273675,0.0026064291920069507,0.3333333333333333,1.2064989517819706,0.00044610473573012104,1.0855777584708948,0.17250437828371282
frozenset({'Engenharia Mecânica - B292200218320'}),frozenset({'Aprovado'}),0.005212858384013901,0.27628149435273675,0.0017376194613379669,0.3333333333333333,1.2064989517819706,0.0002974031571534139,1.0855777584708948,0.17205240174672484
frozenset({'Engenharia Mecânica - B320888200683'}),frozenset({'Aprovado'}),0.0026064291920069507,0.27628149435273675,0.0008688097306689834,0.3333333333333333,1.2064989517819706,0.00014870157857670694,1.0855777584708948,0.17160278745644594
frozenset({'Engenharia Mecânica - B380148200148'}),frozenset({'Aprovado'}),0.004344048653344918,0.27628149435273675,0.0017376194613379669,0.39999999999999997,1.4477987421383647,0.0005374392078508394,1.2061975094121054,0.3106457242582897
frozenset({'Engenharia Mecânica - B461200642855'}),frozenset({'Aprovado'}),0.005212858384013901,0.27628149435273675,0.0017376194613379669,0.3333333333333333,1.2064989517819706,0.0002974031571534139,1.0855777584708948,0.17205240174672484
frozenset({'Engenharia Mecânica - B512402380642'}),frozenset({'Aprovado'}),0.0026064291920069507,0.27628149435273675,0.0008688097306689834,0.3333333333333333,1.2064989517819706,0.00014870157857670694,1.0855777584708948,0.17160278745644594
frozenset({'Engenharia Mecânica - B888642512642'}),frozenset({'Aprovado'}),0.0026064291920069507,0.27628149435273675,0.0008688097306689834,0.3333333333333333,1.2064989517819706,0.00014870157857670694,1.0855777584708948,0.17160278745644594
frozenset({'Engenharia Química - A218148855402'}),frozenset({'Aprovado'}),0.005212858384013901,0.27628149435273675,0.0017376194613379669,0.3333333333333333,1.2064989517819706,0.0002974031571534139,1.0855777584708948,0.17205240174672484
frozenset({'Engenharia Química - A292200218320'}),frozenset({'Aprovado'}),0.0026064291920069507,0.27628149435273675,0.0008688097306689834,0.3333333333333333,1.2064989517819706,0.00014870157857670694,1.0855777584708948,0.17160278745644594
frozenset({'Engenharia Química - B200380461148'}),frozenset({'Aprovado'}),0.0069504778453518675,0.27628149435273675,0.0026064291920069507,0.37500000000000006,1.3573113207547172,0.0006861407864275468,1.1579496090356212,0.2650918635170605
frozenset({'Engenharia Química - B292200218320'}),frozenset({'Aprovado'}),0.0026064291920069507,0.27628149435273675,0.0008688097306689834,0.3333333333333333,1.2064989517819706,0.00014870157857670694,1.0855777584708948,0.17160278745644594
frozenset({'Engenharia Química - B320888200683'}),frozenset({'Aprovado'}),0.0026064291920069507,0.27628149435273675,0.0008688097306689834,0.3333333333333333,1.2064989517819706,0.00014870157857670694,1.0855777584708948,0.17160278745644594
frozenset({'Engenharia Química - B380148200148'}),frozenset({'Aprovado'}),0.005212858384013901,0.27628149435273675,0.0017376194613379669,0.3333333333333333,1.2064989517819706,0.0002974031571534139,1.0855777584708948,0.17205240174672484
frozenset({'Engenharia Química - B461200642855'}),frozenset({'Aprovado'}),0.0026064291920069507,0.27628149435273675,0.0008688097306689834,0.3333333333333333,1.2064989517819706,0.00014870157857670694,1.0855777584708948,0.17160278745644594
frozenset({'Engenharia Química - B512402380642'}),frozenset({'Aprovado'}),0.0026064291920069507,0.27628149435273675,0.0008688097306689834,0.3333333333333333,1.2064989517819706,0.00014870157857670694,1.0855777584708948,0.17160278745644594
frozenset({'Engenharia Química - B888642512642'}),frozenset({'Aprovado'}),0.005212858384013901,0.27628149435273675,0.0017376194613379669,0.3333333333333333,1.2064989517819706,0.0002974031571534139,1.0855777584708948,0.17205240174672484
frozenset({'Engenharia Química - P380148200'}),frozenset({'Aprovado'}),0.0026064291920069507,0.27628149435273675,0.0008688097306689834,0.3333333333333333,1.2064989517819706,0.00014870157857670694,1.0855777584708948,0.17160278745644594
frozenset({'Engenharia Química - P394200218'}),frozenset({'Aprovado'}),0.0017376194613379669,0.27628149435273675,0.0008688097306689834,0.5,1.809748427672956,0.0003887376292741325,1.4474370112945265,0.4482158398607485
frozenset({'Engenharia Química - P512200642'}),frozenset({'Aprovado'}),0.0026064291920069507,0.27628149435273675,0.0008688097306689834,0.3333333333333333,1.2064989517819706,0.00014870157857670694,1.0855777584708948,0.17160278745644594
frozenset({'Engenharia Química - P855200218'}),frozenset({'Aprovado'}),0.0026064291920069507,0.27628149435273675,0.0008688097306689834,0.3333333333333333,1.2064989517819706,0.00014870157857670694,1.0855777584708948,0.17160278745644594
frozenset({'Engenharia Química - P888402148'}),frozenset({'Aprovado'}),0.005212858384013901,0.27628149435273675,0.0017376194613379669,0.3333333333333333,1.2064989517819706,0.0002974031571534139,1.0855777584708948,0.17205240174672484
