antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
frozenset({'Física - Bacharelado - AP806642512402'}),frozenset({'Aprovado'}),0.0026064291920069507,0.27628149435273675,0.0008688097306689834,0.3333333333333333,1.2064989517819706,0.00014870157857670694,1.0855777584708948,0.17160278745644594
frozenset({'Física - Bacharelado - B888642512642'}),frozenset({'Aprovado'}),0.0026064291920069507,0.27628149435273675,0.0008688097306689834,0.3333333333333333,1.2064989517819706,0.00014870157857670694,1.0855777584708948,0.17160278745644594
frozenset({'Física - Bacharelado - P642380402'}),frozenset({'Aprovado'}),0.0026064291920069507,0.27628149435273675,0.0008688097306689834,0.3333333333333333,1.2064989517819706,0.00014870157857670694,1.0855777584708948,0.17160278745644594
frozenset({'Física - Licenciatura Plena - P642380402'}),frozenset({'Aprovado'}),0.0026064291920069507,0.27628149435273675,0.0008688097306689834,0.3333333333333333,1.2064989517819706,0.00014870157857670694,1.0855777584708948,0.17160278745644594
frozenset({'Física - Licenciatura Plena Noturno - P888683320'}),frozenset({'Aprovado'}),0.0026064291920069507,0.27628149435273675,0.0008688097306689834,0.3333333333333333,1.2064989517819706,0.00014870157857670694,1.0855777584708948,0.17160278745644594
frozenset({'Química - Bacharelado - B888642512642'}),frozenset({'Aprovado'}),0.0026064291920069507,0.27628149435273675,0.0008688097306689834,0.3333333333333333,1.2064989517819706,0.00014870157857670694,1.0855777584708948,0.17160278745644594
frozenset({'Química - Bacharelado - P380148200'}),frozenset({'Aprovado'}),0.0026064291920069507,0.27628149435273675,0.0008688097306689834,0.3333333333333333,1.2064989517819706,0.00014870157857670694,1.0855777584708948,0.17160278745644594
frozenset({'Química - Licenciatura - AP806642512402'}),frozenset({'Aprovado'}),0.0026064291920069507,0.27628149435273675,0.0008688097306689834,0.3333333333333333,1.2064989517819706,0.00014870157857670694,1.0855777584708948,0.17160278745644594
frozenset({'Química - Licenciatura - B200380461148'}),frozenset({'Aprovado'}),0.0017376194613379669,0.27628149435273675,0.0008688097306689834,0.5,1.809748427672956,0.0003887376292741325,1.4474370112945265,0.4482158398607485
frozenset({'Química - Licenciatura - B380148200148'}),frozenset({'Aprovado'}),0.0017376194613379669,0.27628149435273675,0.0008688097306689834,0.5,1.809748427672956,0.0003887376292741325,1.4474370112945265,0.4482158398607485
frozenset({'Química - Licenciatura - B806642512402'}),frozenset({'Aprovado'}),0.0026064291920069507,0.27628149435273675,0.0008688097306689834,0.3333333333333333,1.2064989517819706,0.00014870157857670694,1.0855777584708948,0.17160278745644594
frozenset({'Química Industrial - B200380461148'}),frozenset({'Aprovado'}),0.0026064291920069507,0.27628149435273675,0.0008688097306689834,0.3333333333333333,1.2064989517819706,0.00014870157857670694,1.0855777584708948,0.17160278745644594
frozenset({'Química Industrial - B292200218320'}),frozenset({'Aprovado'}),0.0026064291920069507,0.27628149435273675,0.0008688097306689834,0.3333333333333333,1.2064989517819706,0.00014870157857670694,1.0855777584708948,0.17160278745644594
frozenset({'Química Industrial - B461200642855'}),frozenset({'Aprovado'}),0.0026064291920069507,0.27628149435273675,0.0008688097306689834,0.3333333333333333,1.2064989517819706,0.00014870157857670694,1.0855777584708948,0.17160278745644594
frozenset({'Química Industrial - P148855320'}),frozenset({'Aprovado'}),0.0026064291920069507,0.27628149435273675,0.0008688097306689834,0.3333333333333333,1.2064989517819706,0.00014870157857670694,1.0855777584708948,0.17160278745644594
frozenset({'Química Industrial - P380148200'}),frozenset({'Aprovado'}),0.0034752389226759338,0.27628149435273675,0.0017376194613379669,0.5,1.809748427672956,0.000777475258548265,1.4474370112945265,0.4489973844812555
frozenset({'Bacharelado em Sistemas de Informação - C200380893402'}),frozenset({'Reprovado'}),0.008688097306689836,0.27628149435273675,0.0034752389226759338,0.39999999999999997,1.4477987421383647,0.0010748784157016788,1.2061975094121054,0.31200701139351444
frozenset({'Bacharelado em Sistemas de Informação - C380148200685'}),frozenset({'Reprovado'}),0.016507384882710686,0.27628149435273675,0.005212858384013901,0.31578947368421056,1.1429990069513407,0.0006521734207628168,1.0577424313306156,0.12720848056537107
frozenset({'Bacharelado em Sistemas de Informação - C402380642148'}),frozenset({'Reprovado'}),0.0017376194613379669,0.27628149435273675,0.0008688097306689834,0.5,1.809748427672956,0.0003887376292741325,1.4474370112945265,0.4482158398607485
frozenset({'Bacharelado em Sistemas de Informação - E200380461148'}),frozenset({'Reprovado'}),0.0017376194613379669,0.27628149435273675,0.0008688097306689834,0.5,1.809748427672956,0.0003887376292741325,1.4474370112945265,0.4482158398607485
frozenset({'Bacharelado em Sistemas de Informação - E681200461218'}),frozenset({'Reprovado'}),0.008688097306689836,0.27628149435273675,0.0034752389226759338,0.39999999999999997,1.4477987421383647,0.0010748784157016788,1.2061975094121054,0.31200701139351444
frozenset({'Bacharelado em Sistemas de Informação - I200380893402'}),frozenset({'Reprovado'}),0.007819287576020852,0.27628149435273675,0.0026064291920069507,0.3333333333333333,1.2064989517819706,0.00044610473573012104,1.0855777584708948,0.17250437828371282
frozenset({'Engenharia Mecânica - AP681402512218'}),frozenset({'CancMatric'}),0.0026064291920069507,0.07993049522154648,0.0008688097306689834,0.3333333333333333,4.170289855072464,0.0006604765545919726,1.38010425716768,0.7621951219512195
frozenset({'Química - Licenciatura - AP806642512402'}),frozenset({'CancMatric'}),0.0026064291920069507,0.07993049522154648,0.0008688097306689834,0.3333333333333333,4.170289855072464,0.0006604765545919726,1.38010425716768,0.7621951219512195
frozenset({'Ciência da Computação - Bacharelado - A292200218320'}),frozenset({'Reprovado'}),0.004344048653344918,0.27628149435273675,0.0017376194613379669,0.39999999999999997,1.4477987421383647,0.0005374392078508394,1.2061975094121054,0.3106457242582897
frozenset({'Ciência da Computação - Bacharelado - B292200218320'}),frozenset({'Reprovado'}),0.0026064291920069507,0.27628149435273675,0.0008688097306689834,0.3333333333333333,1.2064989517819706,0.00014870157857670694,1.0855777584708948,0.17160278745644594
frozenset({'Ciência da Computação - Bacharelado - B292200218320'}),frozenset({'Tr.Parcial'}),0.0026064291920069507,0.08688097306689835,0.0008688097306689834,0.3333333333333333,3.8366666666666664,0.0006423606262374499,1.3696785403996523,0.7412891986062717
frozenset({'Ciência da Computação - Bacharelado - B320888200683'}),frozenset({'Reprovado'}),0.0026064291920069507,0.27628149435273675,0.0008688097306689834,0.3333333333333333,1.2064989517819706,0.00014870157857670694,1.0855777584708948,0.17160278745644594
frozenset({'Ciência da Computação - Bacharelado - B320888200683'}),frozenset({'Tr.Parcial'}),0.0026064291920069507,0.08688097306689835,0.0008688097306689834,0.3333333333333333,3.8366666666666664,0.0006423606262374499,1.3696785403996523,0.7412891986062717
frozenset({'Ciência da Computação - Bacharelado - B512402380642'}),frozenset({'Reprovado'}),0.0026064291920069507,0.27628149435273675,0.0008688097306689834,0.3333333333333333,1.2064989517819706,0.00014870157857670694,1.0855777584708948,0.17160278745644594
frozenset({'Ciência da Computação - Bacharelado - B512402380642'}),frozenset({'Tr.Parcial'}),0.0026064291920069507,0.08688097306689835,0.0008688097306689834,0.3333333333333333,3.8366666666666664,0.0006423606262374499,1.3696785403996523,0.7412891986062717
frozenset({'Ciência da Computação - Bacharelado - B888642512642'}),frozenset({'Reprovado'}),0.0026064291920069507,0.27628149435273675,0.0008688097306689834,0.3333333333333333,1.2064989517819706,0.00014870157857670694,1.0855777584708948,0.17160278745644594
frozenset({'Ciência da Computação - Bacharelado - B888642512642'}),frozenset({'Tr.Parcial'}),0.0026064291920069507,0.08688097306689835,0.0008688097306689834,0.3333333333333333,3.8366666666666664,0.0006423606262374499,1.3696785403996523,0.7412891986062717
frozenset({'Ciência da Computação - Bacharelado - C218200683888'}),frozenset({'Repr.Freq'}),0.005212858384013901,0.07298001737619461,0.0017376194613379669,0.3333333333333333,4.567460317460317,0.0013571849658929906,1.390529973935708,0.7851528384279476
frozenset({'Ciência da Computação - Bacharelado - C292200218642'}),frozenset({'Reprovado'}),0.004344048653344918,0.27628149435273675,0.0017376194613379669,0.39999999999999997,1.4477987421383647,0.0005374392078508394,1.2061975094121054,0.3106457242582897
frozenset({'Ciência da Computação - Bacharelado - C380148200685'}),frozenset({'Reprovado'}),0.013032145960034752,0.27628149435273675,0.004344048653344918,0.33333333333333337,1.2064989517819709,0.0007435078928835354,1.085577758470895,0.17341549295774655
frozenset({'Ciência da Computação - Bacharelado - C888148218402'}),frozenset({'Reprovado'}),0.0017376194613379669,0.27628149435273675,0.0008688097306689834,0.5,1.809748427672956,0.0003887376292741325,1.4474370112945265,0.4482158398607485
frozenset({'Ciência da Computação - Bacharelado - C946200380402'}),frozenset({'Reprovado'}),0.007819287576020852,0.27628149435273675,0.0026064291920069507,0.3333333333333333,1.2064989517819706,0.00044610473573012104,1.0855777584708948,0.17250437828371282
frozenset({'Ciência da Computação - Bacharelado - E200380461148'}),frozenset({'Reprovado'}),0.0017376194613379669,0.27628149435273675,0.0008688097306689834,0.5,1.809748427672956,0.0003887376292741325,1.4474370112945265,0.4482158398607485
frozenset({'Ciência da Computação - Bacharelado - E642946200380'}),frozenset({'Reprovado'}),0.0017376194613379669,0.27628149435273675,0.0008688097306689834,0.5,1.809748427672956,0.0003887376292741325,1.4474370112945265,0.4482158398607485
frozenset({'Ciência da Computação - Bacharelado - E681200461218'}),frozenset({'Reprovado'}),0.0069504778453518675,0.27628149435273675,0.0026064291920069507,0.37500000000000006,1.3573113207547172,0.0006861407864275468,1.1579496090356212,0.2650918635170605
frozenset({'Ciência da Computação - Bacharelado - J0000001111'}),frozenset({'Repr.Freq'}),0.0026064291920069507,0.07298001737619461,0.0008688097306689834,0.3333333333333333,4.567460317460317,0.0006785924829464953,1.390529973935708,0.7831010452961672
frozenset({'Ciência da Computação - Bacharelado - J0000001111'}),frozenset({'Reprovado'}),0.0026064291920069507,0.27628149435273675,0.0008688097306689834,0.3333333333333333,1.2064989517819706,0.00014870157857670694,1.0855777584708948,0.17160278745644594
frozenset({'Ciência da Computação - Bacharelado - P148855320'}),frozenset({'Reprovado'}),0.0026064291920069507,0.27628149435273675,0.0008688097306689834,0.3333333333333333,1.2064989517819706,0.00014870157857670694,1.0855777584708948,0.17160278745644594
frozenset({'Ciência da Computação - Bacharelado - P148855320'}),frozenset({'Tr.Parcial'}),0.0026064291920069507,0.08688097306689835,0.0008688097306689834,0.3333333333333333,3.8366666666666664,0.0006423606262374499,1.3696785403996523,0.7412891986062717
frozenset({'Ciência da Computação - Bacharelado - P893683855'}),frozenset({'Repr.Freq'}),0.0026064291920069507,0.07298001737619461,0.0008688097306689834,0.3333333333333333,4.567460317460317,0.0006785924829464953,1.390529973935708,0.7831010452961672
frozenset({'Ciência da Computação - Bacharelado - P893683855'}),frozenset({'Reprovado'}),0.0026064291920069507,0.27628149435273675,0.0008688097306689834,0.3333333333333333,1.2064989517819706,0.00014870157857670694,1.0855777584708948,0.17160278745644594
frozenset({'Ciências Econômicas - Diurno - P148855320'}),frozenset({'Reprovado'}),0.0026064291920069507,0.27628149435273675,0.0008688097306689834,0.3333333333333333,1.2064989517819706,0.00014870157857670694,1.0855777584708948,0.17160278745644594
frozenset({'Ciências Econômicas - Diurno - P148855320'}),frozenset({'Tr.Parcial'}),0.0026064291920069507,0.08688097306689835,0.0008688097306689834,0.3333333333333333,3.8366666666666664,0.0006423606262374499,1.3696785403996523,0.7412891986062717
frozenset({'Ciências Econômicas - Diurno - P512200642'}),frozenset({'Repr.Freq'}),0.0026064291920069507,0.07298001737619461,0.0008688097306689834,0.3333333333333333,4.567460317460317,0.0006785924829464953,1.390529973935708,0.7831010452961672
frozenset({'Ciências Econômicas - Diurno - P512200642'}),frozenset({'Reprovado'}),0.0026064291920069507,0.27628149435273675,0.0008688097306689834,0.3333333333333333,1.2064989517819706,0.00014870157857670694,1.0855777584708948,0.17160278745644594
frozenset({'Ciências Econômicas - Noturno - P200218642'}),frozenset({'Reprovado'}),0.0026064291920069507,0.27628149435273675,0.0008688097306689834,0.3333333333333333,1.2064989517819706,0.00014870157857670694,1.0855777584708948,0.17160278745644594
frozenset({'Ciências Econômicas - Noturno - P200218642'}),frozenset({'Tr.Parcial'}),0.0026064291920069507,0.08688097306689835,0.0008688097306689834,0.3333333333333333,3.8366666666666664,0.0006423606262374499,1.3696785403996523,0.7412891986062717
frozenset({'Curso de Bacharelado em Estatística - Noturno - P681200683'}),frozenset({'Dispensado'}),0.0026064291920069507,0.08079930495221546,0.0008688097306689834,0.3333333333333333,4.125448028673835,0.0006582120635476573,1.3788010425716768,0.759581881533101
frozenset({'Curso de Bacharelado em Estatística - Noturno - P681200683'}),frozenset({'Repr.Freq'}),0.0026064291920069507,0.07298001737619461,0.0008688097306689834,0.3333333333333333,4.567460317460317,0.0006785924829464953,1.390529973935708,0.7831010452961672
frozenset({'Curso de Bacharelado em Estatística - Noturno - P888402148'}),frozenset({'Reprovado'}),0.005212858384013901,0.27628149435273675,0.0017376194613379669,0.3333333333333333,1.2064989517819706,0.0002974031571534139,1.0855777584708948,0.17205240174672484
frozenset({'Curso de Engenharia Aeroespacial - A292200218320'}),frozenset({'Reprovado'}),0.0026064291920069507,0.27628149435273675,0.0008688097306689834,0.3333333333333333,1.2064989517819706,0.00014870157857670694,1.0855777584708948,0.17160278745644594
frozenset({'Curso de Engenharia Aeroespacial - B200380461148'}),frozenset({'Reprovado'}),0.0034752389226759338,0.27628149435273675,0.0017376194613379669,0.5,1.809748427672956,0.000777475258548265,1.4474370112945265,0.4489973844812555
frozenset({'Curso de Engenharia Aeroespacial - B292200218320'}),frozenset({'Não Concl.'}),0.0026064291920069507,0.1268462206776716,0.0008688097306689834,0.3333333333333333,2.6278538812785386,0.0005381940381989445,1.3097306689834924,0.6210801393728222
frozenset({'Curso de Engenharia Aeroespacial - B292200218320'}),frozenset({'Reprovado'}),0.0026064291920069507,0.27628149435273675,0.0008688097306689834,0.3333333333333333,1.2064989517819706,0.00014870157857670694,1.0855777584708948,0.17160278745644594
frozenset({'Curso de Engenharia Aeroespacial - B320888200683'}),frozenset({'Não Concl.'}),0.0026064291920069507,0.1268462206776716,0.0008688097306689834,0.3333333333333333,2.6278538812785386,0.0005381940381989445,1.3097306689834924,0.6210801393728222
frozenset({'Curso de Engenharia Aeroespacial - B320888200683'}),frozenset({'Reprovado'}),0.0026064291920069507,0.27628149435273675,0.0008688097306689834,0.3333333333333333,1.2064989517819706,0.00014870157857670694,1.0855777584708948,0.17160278745644594
frozenset({'Curso de Engenharia Aeroespacial - B461200642855'}),frozenset({'Não Concl.'}),0.0026064291920069507,0.1268462206776716,0.0008688097306689834,0.3333333333333333,2.6278538812785386,0.0005381940381989445,1.3097306689834924,0.6210801393728222
frozenset({'Curso de Engenharia Aeroespacial - B461200642855'}),frozenset({'Reprovado'}),0.0026064291920069507,0.27628149435273675,0.0008688097306689834,0.3333333333333333,1.2064989517819706,0.00014870157857670694,1.0855777584708948,0.17160278745644594
frozenset({'Curso de Engenharia Aeroespacial - B512402380642'}),frozenset({'Não Concl.'}),0.0026064291920069507,0.1268462206776716,0.0008688097306689834,0.3333333333333333,2.6278538812785386,0.0005381940381989445,1.3097306689834924,0.6210801393728222
frozenset({'Curso de Engenharia Aeroespacial - B512402380642'}),frozenset({'Reprovado'}),0.0026064291920069507,0.27628149435273675,0.0008688097306689834,0.3333333333333333,1.2064989517819706,0.00014870157857670694,1.0855777584708948,0.17160278745644594
frozenset({'Curso de Engenharia Aeroespacial - B888642512642'}),frozenset({'Reprovado'}),0.005212858384013901,0.27628149435273675,0.0017376194613379669,0.3333333333333333,1.2064989517819706,0.0002974031571534139,1.0855777584708948,0.17205240174672484
frozenset({'Curso de Engenharia Sanitária e Ambiental - B200380461148'}),frozenset({'Não Concl.'}),0.0026064291920069507,0.1268462206776716,0.0008688097306689834,0.3333333333333333,2.6278538812785386,0.0005381940381989445,1.3097306689834924,0.6210801393728222
frozenset({'Curso de Engenharia Sanitária e Ambiental - B200380461148'}),frozenset({'Reprovado'}),0.0026064291920069507,0.27628149435273675,0.0008688097306689834,0.3333333333333333,1.2064989517819706,0.00014870157857670694,1.0855777584708948,0.17160278745644594
frozenset({'Curso de Engenharia Sanitária e Ambiental - B292200218320'}),frozenset({'Não Concl.'}),0.0026064291920069507,0.1268462206776716,0.0008688097306689834,0.3333333333333333,2.6278538812785386,0.0005381940381989445,1.3097306689834924,0.6210801393728222
frozenset({'Curso de Engenharia Sanitária e Ambiental - B292200218320'}),frozenset({'Reprovado'}),0.0026064291920069507,0.27628149435273675,0.0008688097306689834,0.3333333333333333,1.2064989517819706,0.00014870157857670694,1.0855777584708948,0.17160278745644594
frozenset({'Curso de Engenharia Sanitária e Ambiental - B320888200683'}),frozenset({'Não Concl.'}),0.0026064291920069507,0.1268462206776716,0.0008688097306689834,0.3333333333333333,2.6278538812785386,0.0005381940381989445,1.3097306689834924,0.6210801393728222
frozenset({'Curso de Engenharia Sanitária e Ambiental - B320888200683'}),frozenset({'Reprovado'}),0.0026064291920069507,0.27628149435273675,0.0008688097306689834,0.3333333333333333,1.2064989517819706,0.00014870157857670694,1.0855777584708948,0.17160278745644594
frozenset({'Curso de Engenharia Sanitária e Ambiental - B461200642855'}),frozenset({'Não Concl.'}),0.0026064291920069507,0.1268462206776716,0.0008688097306689834,0.3333333333333333,2.6278538812785386,0.0005381940381989445,1.3097306689834924,0.6210801393728222
frozenset({'Curso de Engenharia Sanitária e Ambiental - B461200642855'}),frozenset({'Reprovado'}),0.0026064291920069507,0.27628149435273675,0.0008688097306689834,0.3333333333333333,1.2064989517819706,0.00014870157857670694,1.0855777584708948,0.17160278745644594
frozenset({'Curso de Engenharia Sanitária e Ambiental - B512402380642'}),frozenset({'Não Concl.'}),0.0026064291920069507,0.1268462206776716,0.0008688097306689834,0.3333333333333333,2.6278538812785386,0.0005381940381989445,1.3097306689834924,0.6210801393728222
frozenset({'Curso de Engenharia Sanitária e Ambiental - B512402380642'}),frozenset({'Reprovado'}),0.0026064291920069507,0.27628149435273675,0.0008688097306689834,0.3333333333333333,1.2064989517819706,0.00014870157857670694,1.0855777584708948,0.17160278745644594
frozenset({'Curso de Engenharia de Produção - B320888200683'}),frozenset({'Reprovado'}),0.0026064291920069507,0.27628149435273675,0.0008688097306689834,0.3333333333333333,1.2064989517819706,0.00014870157857670694,1.0855777584708948,0.17160278745644594
frozenset({'Curso de Engenharia de Produção - B320888200683'}),frozenset({'Tr.Parcial'}),0.0026064291920069507,0.08688097306689835,0.0008688097306689834,0.3333333333333333,3.8366666666666664,0.0006423606262374499,1.3696785403996523,0.7412891986062717
frozenset({'Curso de Engenharia de Produção - B461200642855'}),frozenset({'Reprovado'}),0.0026064291920069507,0.27628149435273675,0.0008688097306689834,0.3333333333333333,1.2064989517819706,0.00014870157857670694,1.0855777584708948,0.17160278745644594
